Informe de rendimiento del anuncio (huso horario de UTC)
Fecha de inicio del informe: 16 de febrero de 2026 0:00
Fecha de fin del informe: 9 de abril de 2026 23:59
Fecha de creación: 9 de abril de 2026 8:54


Fecha de inicio (huso horario de UTC)	Moneda	campaign_alias	Estado de la campaña	Fecha de inicio de la campaña	Fecha de finalización de la campaña	adset_alias	Objetivo del lote de anuncios	Tipo de lote de anuncios	Estado del lote de anuncios	Tipo de coste	Presupuesto diario	Presupuesto total	Fecha de inicio del lote de anuncios	Fecha de finalización del lote de anuncios	ad_alias	Estado del anuncio	intro_alias	title_alias	tagline_alias	Tipo de actualización patrocinada	dsc_alias	Gasto total	Impresiones	Clics	Porcentaje de clics	CPM medio	CPC medio	Reacciones	Comentarios	Veces compartido	Seguidores	Otros clics	Acciones sociales totales	Total de interacciones	Tasa de interacción	Impresiones virales	Clics virales	Reacciones virales	Comentarios virales	Veces virales compartidas	Veces virales seguidas	Otros clics virales	Conversiones	Conversiones posteriores al clic	Conversiones de visualización	Tasa de conversión	Coste por conversión	Valor total de las conversiones	Rendimiento del gasto publicitario	Conversiones virales	Conversiones virales postclic	Conversiones virales de visualización	Posibles contactos	Formularios de posibles clientes abiertos	Tasa de finalización de formulario de posibles contactos	Coste por posible contacto	Citas reservadas	Alcance	Promedio de frecuencia	Coste por 1.000  personas alcanzadas	Inscripción en eventos	Inscripciones tras clic	Inscripciones tras visualización	Inscripciones virales	Inscripciones virales tras clic	Inscripciones virales tras visualización	Clics a la página de destino	Clics a la página de LinkedIn	Posibles contactos (email del trabajo)	Tasa de finalización del formulario de generación de contactos (email del trabajo)	Coste por posible contacto (email del trabajo)	Siguiendo del miembro	Clics al perfil del miembro	Posibles clientes cualificados	Coste por posible cliente cualificado	Promedio de permanencia (en segundos)	Suscripciones	Suscripciones virales
21/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		24,11	7	0	0 %	3.444,29	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	7	1	3.444,29	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	7.7927142857	0	0
22/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		15,01	12	0	0 %	1.250,83	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	10	1,2	1.501,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	3.2855	0	0
1/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	3,23	51	1	1,961 %	63,33	3,23	1	0	0	0	0	1	2	3,922 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	43	1,186	75,12	0	0	0	0	0	0	1	0	0	0 %	0,00	0	0	0	0,00	5.7399019608	0	0
2/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	2,12	36	0	0 %	58,89	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	28	1,286	75,71	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	2.4128611111	0	0
3/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	2,76	55	2	3,636 %	50,18	1,38	0	0	0	0	0	0	2	3,636 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	38	1,447	72,63	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	4.9711636364	0	0
4/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	2,93	48	1	2,083 %	61,04	2,93	0	0	0	0	0	0	1	2,083 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	35	1,371	83,71	0	0	0	0	0	0	1	0	0	0 %	0,00	0	0	0	0,00	4.140125	0	0
5/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	5,49	121	0	0 %	45,37	0,00	0	0	0	0	0	0	1	0,826 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	68	1,779	80,74	0	0	0	0	0	0	0	1	0	0 %	0,00	0	0	0	0,00	4.227625	0	0
6/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	1,95	36	1	2,778 %	54,17	1,95	0	0	0	0	0	0	1	2,778 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	28	1,286	69,64	0	0	0	0	0	0	1	0	0	0 %	0,00	0	0	0	0,00	3.2464571429	0	0
22/3/2026	EUR	41d4af77e3a6	En pausa	1/3/2026		41d4af77e3a6	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	1/3/2026		6022d32dfc26	Activo	d3e8fb6218ab	c61de877f710		DSC	6022d32dfc26	1,52	5	0	0 %	304,00	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	5	1	304,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	1.9808	0	0
4/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	4,15	61	1	1,639 %	68,03	4,15	0	0	0	0	0	0	1	1,639 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	45	1,356	92,22	0	0	0	0	0	0	1	0	0	0 %	0,00	0	0	0	0,00	11.0327213115	0	0
